Source,Target
Francisco Trinaldo,Jai Herbert
Carla Esparza,Marina Rodriguez
Khamzat Chimaev,Rhys McKee
Paul Craig,Gadzhimurad Antigulov
Fabricio Werdum,Alexander Gustafsson
Tom Aspinall,Jake Collier
Nicolas Dalby,Jesse Ronson
Tanner Boser,Raphael Pessoa
Movsar Evloev,Mike Grundy
Ramazan Emeev,Niklas Stolze
Bethe Correia,Pannie Kianzad
Nathaniel Wood,John Castaneda
Joe Duffy,Joel Alvarez
Jack Hermansson,Kelvin Gastelum
Marc Diakiese,Rafael Fiziev
Alexandre Pantoja,Askar Askarov
Grant Dawson,Nad Narimani
Deiveson Figueiredo,Joseph Benavidez
Roman Dolidze,Khadis Ibragimov
Ariane Lipski,Luana Carolina
Malcolm Gordon,Amir Albazi
Brett Johns,Montel Jackson
Carlos Felipe,Serghei Spivac
Davi Ramos,Arman Tsarukyan
Modestas Bukauskas,Andreas Michailidis
Molly McCann,Taila Santos
John Phillips,Khamzat Chimaev
Ricardo Ramos,Lerone Murphy
Jimmie Rivera,Cody Stamann
Calvin Kattar,Dan Ige
Abdul Razak Alhassan,Mounir Lazzez
Tim Elliott,Ryan Benoit
Diana Belbita,Liana Jojua
Jack Shore,Aaron Phillips
Jared Gordon,Chris Fishgold
Jessica Andrade,Rose Namajunas
Makwan Amirkhani,Danny Henry
Volkan Oezdemir,Jiri Prochazka
Elizeu Zaleski dos Santos,Muslim Salikhov
Petr Yan,Jose Aldo
Alexander Volkanovski,Max Holloway
Kamaru Usman,Jorge Masvidal
Amanda Ribas,Paige VanZant
Leonardo Santos,Roman Bogatov
Karol Rosa,Vanessa Melo
Marcin Tybura,Maxim Grishin
Raulian Paiva,Zhalgas Zhumagulov
Martin Day,Davey Grant
Luis Pena,Khama Worthy
Philipe Lins,Tanner Boser
Gian Villante,Maurice Greene
Sean Woodson,Julian Erosa
Mike Perry,Mickey Gall
Dustin Poirier,Dan Hooker
Brendan Allen,Kyle Daukaus
Takashi Sato,Jason Witt
Jordan Griffin,Youssef Zalal
Kay Hansen,Jinh Yu Frey
Jim Miller,Roosevelt Roberts
Marc-Andre Barriault,Oskar Piechota
Clay Guida,Bobby Green
Belal Muhammad,Lyman Good
Curtis Blaydes,Alexander Volkov
Josh Emmett,Shane Burgos
Tecia Torres,Brianna Van Buren
Raquel Pennington,Marion Reneau
Cortney Casey,Gillian Robertson
Frank Camacho,Justin Jaynes
Roxanne Modafferi,Lauren Murphy
Austin Hubbard,Max Rohskopf
Mariya Agapova,Hannah Cifers
Andre Fili,Charles Jourdain
Merab Dvalishvili,Gustavo Lopez
Jordan Espinosa,Mark De La Rosa
Karl Roberson,Marvin Vettori
Charles Rosa,Kevin Aguilar
Jessica Eye,Cynthia Calvillo
Julia Avila,Gina Mazany
Anthony Ivy,Christian Aguilera
Tyson Nam,Zarrukh Adashev
Cody Stamann,Brian Kelleher
Eddie Wineland,Sean O'Malley
Alex Caceres,Chase Hooper
Raphael Assuncao,Cody Garbrandt
Amanda Nunes,Felicia Spencer
Aljamain Sterling,Cory Sandhagen
Neil Magny,Anthony Rocco Martin
Ian Heinisch,Gerald Meerschaert
Charles Byrd,Maki Pitolo
Evan Dunham,Herbert Burns
Alonzo Menifield,Devin Clark
Jussier Formiga,Alex Perez
Blagoy Ivanov,Augusto Sakai
Jamahal Hill,Klidson Abreu
Mackenzie Dern,Hannah Cifers
Daniel Rodriguez,Gabe Green
Katlyn Chookagian,Antonina Shevchenko
Tyron Woodley,Gilbert Burns
Roosevelt Roberts,Brok Weaver
Billy Quarantillo,Spike Carlyle
Tim Elliott,Brandon Royval
Louis Smolka,Casey Kenney
Chris Gutierrez,Vince Morales
Dan Ige,Edson Barboza
Claudia Gadelha,Angela Hill
Anthony Hernandez,Kevin Holland
Giga Chikadze,Irwin Rivera
Eryk Anders,Krzysztof Jotko
Matt Brown,Miguel Baeza
Alistair Overeem,Walt Harris
Song Yadong,Marlon Vera
Cortney Casey,Mara Romero Borella
Darren Elkins,Nate Landwehr
Rodrigo Nascimento,Don'Tale Mayes
Ricky Simon,Ray Borg
Ben Rothwell,Ovince Saint Preux
Gabriel Benitez,Omar Morales
Anthony Smith,Glover Teixeira
Andrei Arlovski,Philipe Lins
Michael Johnson,Thiago Moises
Alexander Hernandez,Drew Dober
Sijara Eubanks,Sarah Moras
Hunter Azure,Brian Kelleher
Chase Sherman,Ike Villanueva
Carla Esparza,Michelle Waterson
Anthony Pettis,Donald Cerrone
Aleksei Oleinik,Fabricio Werdum
Jeremy Stephens,Calvin Kattar
Tony Ferguson,Justin Gaethje
Francis Ngannou,Jairzinho Rozenstruik
Henry Cejudo,Dominick Cruz
Vicente Luque,Niko Price
Greg Hardy,Yorgan De Castro
Ryan Spann,Sam Alvey
Bryce Mitchell,Charles Rosa
Amanda Ribas,Randa Markos
Jussier Formiga,Brandon Moreno
Renato Moicano,Damir Hadzovic
Elizeu Zaleski dos Santos,Aleksei Kunchenko
Johnny Walker,Nikita Krylov
Demian Maia,Gilbert Burns
Kevin Lee,Charles Oliveira
Francisco Trinaldo,John Makdessi
Rani Yahya,Enrique Barzola
Mayra Bueno Silva,Maryna Moroz
Bruno Silva,David Dvorak
Veronica Macedo,Bea Malecki
Beneil Dariush,Drakkar Klose
Neil Magny,Li Jingliang
Sean O'Malley,Jose Quinonez
Israel Adesanya,Yoel Romero
Zhang Weili,Joanna Jedrzejczyk
Rodolfo Vieira,Saparbeg Safarov
Mark Madsen,Austin Hubbard
Giga Chikadze,Jamall Emmers
Batgerel Danaa,Guido Cannetti
Gerald Meerschaert,Deron Winn
Alex Oliveira,Max Griffin
Marcin Tybura,Serghei Spivac
Ion Cutelaba,Magomed Ankalaev
Felicia Spencer,Zarah Fairn
